dataset,experiment,environment,label,spp,Country,Region,Region_4,Lat,Lon,Alt,Pop_Ind,Pop,Ind,block,treatment,germDate,survival,flDate_1,flDate_2,no_fl ,height,no_stem,no_buds,frDate_1,SowDate
Durham,vernalisation,glasshouse,circle,usitatissimum,,,,,,,Ble,Ble,NA,8,Control,08/05/2019,1,27/06/2019,01/07/2019,3,40.5,1,9,05/08/2019,30/04/2019
Durham,vernalisation,garden,circle,usitatissimum,,,,,,,Bol,Bol,NA,1,Control,07/05/2019,1,14/07/2019,20/07/2019,2,54,1,2,05/08/2019,30/04/2019
Durham,vernalisation,garden,star,usitatissimum,,,,,,,Bol,Bol,NA,6,Control,05/02/2019,1,29/03/2019,01/04/2019,1,64,1,0,03/05/2019,23/01/2019
Durham,vernalisation,garden,circle,usitatissimum,,,,,,,Ede,Ede,NA,5,Control,07/05/2019,1,11/07/2019,15/07/2019,2,73,1,2,NA,30/04/2019
Durham,vernalisation,garden,star,usitatissimum,,,,,,,Ede,Ede,NA,5,Control,05/02/2019,1,09/04/2019,23/04/2019,1,76,1,0,03/05/2019,23/01/2019
Durham,vernalisation,garden,circle,usitatissimum,,,,,,,Ede,Ede,NA,5_1,Control,07/05/2019,1,11/07/2019,15/07/2019,1,73,1,2,NA,30/04/2019
Durham,vernalisation,glasshouse,circle,usitatissimum,,,,,,,Gis,Gis,NA,1,Control,07/05/2019,1,29/07/2019,NA,1,53,3,3,NA,30/04/2019
Durham,vernalisation,garden,star,usitatissimum,,,,,,,Gis,Gis,NA,2,Control,05/02/2019,1,04/04/2019,08/04/2019,1,52,1,1,03/05/2019,23/01/2019
Durham,vernalisation,garden,circle,usitatissimum,,,,,,,Gis,Gis,NA,7,Control,15/05/2019,1,15/07/2019,19/07/2019,2,52,3,2,19/08/2019,30/04/2019
Durham,vernalisation,glasshouse,star,usitatissimum,,,,,,,Gis,Gis,NA,7,Control,05/02/2019,1,09/04/2019,24/04/2019,1,52,5,2,31/05/2019,23/01/2019
Durham,vernalisation,garden,star,usitatissimum,,,,,,,Lir,Lir,NA,2,Control,05/02/2019,1,26/03/2019,28/03/2019,3,57.5,2,4,03/05/2019,23/01/2019
Durham,vernalisation,garden,circle,usitatissimum,,,,,,,Lir,Lir,NA,4,Control,07/05/2019,1,25/06/2019,26/06/2019,2,86,3,8,24/07/2019,30/04/2019
Durham,vernalisation,glasshouse,circle,usitatissimum,,,,,,,Lir,Lir,NA,7,Control,07/05/2019,1,02/07/2019,NA,1,45,3,6,NA,30/04/2019
Durham,vernalisation,ASK,star,usitatissimum,,,,,,,Mar,Mar,NA,4,Control,05/02/2019,1,26/03/2019,28/03/2019,3,56,2,5,03/05/2019,23/01/2019
Durham,vernalisation,garden,circle,usitatissimum,,,,,,,Mar,Mar,NA,3_1,Control,07/05/2019,1,09/07/2019,11/07/2019,2,44.5,3,6,05/08/2019,30/04/2019
Durham,vernalisation,garden,circle,usitatissimum,,,,,,,Mon,Mon,NA,1,Control,09/05/2019,1,02/07/2019,06/07/2019,2,47,3,6,24/07/2019,30/04/2019
Durham,vernalisation,garden,star,usitatissimum,,,,,,,Mon,Mon,NA,2,Control,05/02/2019,1,18/03/2019,21/03/2019,3,67,1,NA,03/05/2019,23/01/2019
Durham,vernalisation,glasshouse,star,usitatissimum,,,,,,,Mon,Mon,NA,3,Control,05/02/2019,1,17/03/2019,20/03/2019,2,78.5,1,3,03/05/2019,23/01/2019
Durham,vernalisation,glasshouse,circle,usitatissimum,,,,,,,Mon,Mon,NA,8_1,Control,10/05/2019,1,02/07/2019,04/07/2019,3,77,1,3,05/08/2019,30/04/2019
